"","sample","genotype","glucose","time","batch","SE_PE","counted with","sum_counts","percent_aligned","pyrF","group"
"1","10_WT_B_S18","WT","mGlu","24hr","RH_SP_2022","PE","featureCounts",17996178,75.4,FALSE,"dependent"
"2","11_WT_C_S19","WT","mGlu","24hr","RH_SP_2022","PE","featureCounts",23748234,77.9,FALSE,"dependent"
"3","12_WT_D_S20","WT","mGlu","24hr","RH_SP_2022","PE","featureCounts",12719797,74,FALSE,"dependent"
"4","13_TRMB_A_S21","trmB","mGlu","24hr","RH_SP_2022","PE","featureCounts",16357575,67.6,FALSE,"independent"
"5","16_TRMB_D_S24","trmB","mGlu","24hr","RH_SP_2022","PE","featureCounts",18375973,68.6,FALSE,"independent"
"6","1_WT_A_S9","WT","pGlu","24hr","RH_SP_2022","PE","featureCounts",26374459,81.7,FALSE,"independent"
"7","2_WT_B_S10","WT","pGlu","24hr","RH_SP_2022","PE","featureCounts",21963359,82.8,FALSE,"independent"
"8","3_WT_C_S11","WT","pGlu","24hr","RH_SP_2022","PE","featureCounts",15335358,81.7,FALSE,"independent"
"9","4_WT_D_S12","WT","pGlu","24hr","RH_SP_2022","PE","featureCounts",15124653,81.3,FALSE,"independent"
"10","5_TRMB_A_S13","trmB","pGlu","24hr","RH_SP_2022","PE","featureCounts",22283051,81.3,FALSE,"independent"
"11","7_TRMB_C_S15","trmB","pGlu","24hr","RH_SP_2022","PE","featureCounts",22094331,82.5,FALSE,"independent"
"12","9_WT_A_S17","WT","mGlu","24hr","RH_SP_2022","PE","featureCounts",21141722,76.1,FALSE,"dependent"
"13","aBWT_C_noglu_24_S20_SP","WT","mGlu","24hr","RH_SP_2021","PE","featureCounts",35862212,89.4,FALSE,"dependent"
"14","aCWT_D_noglu_24_S21_SP","WT","mGlu","24hr","RH_SP_2021","PE","featureCounts",37285906,90.5,FALSE,"dependent"
"15","RWT_A_glu_24_S41_S1","WT","pGlu","24hr","RH_S1_2021","PE","featureCounts",26557959,88.6,FALSE,"independent"
"16","SWT_B_glu_24_S16_SP","WT","pGlu","24hr","RH_SP_2021","PE","featureCounts",30700229,87.8,FALSE,"independent"
"17","TWT_C_glu_24_S17_SP","WT","pGlu","24hr","RH_SP_2021","PE","featureCounts",31163683,88.5,FALSE,"independent"
"18","UWT_D_glu_24_S46_S1","WT","pGlu","24hr","RH_S1_2021","PE","featureCounts",30861435,87.8,FALSE,"independent"
"19","ZWT_A_noglu_24_S47_S1","WT","mGlu","24hr","RH_S1_2021","PE","featureCounts",32348411,89.8,FALSE,"dependent"
